Headline,Body ID
"We don't need libraries",91276
"Nations should not recognize a Palestinian state",93576
"Europe should not shun refugees",91274
"NATO should defend nonmbers",90666
"Drug addicts should be forced into treatment",94007
"Do not drop sports program in undergraduate schools",94291
"Wealthy colleges deserve tax breaks",90576
"Hamas-Fatah unity can lead to mideast peace",92048
"Non-Muslims help women by wearing hijabs",92849
"Government should not regulate airline industry again",90521
"Do not drop sports program in undergraduate schools",90672
"Companies can excel without making workers miserable",90848
"The bar is not too low to get into law school",93799
"Royal Couple could be a modern family",93199
"Colleges do not need humanities programs",93422
"We don't need libraries",91293
"No, it can't denounce",92039
"Doping should be allowed",91408
"Colleges do not need humanities programs",90329
"Fees are necessary",92769
"Guns should be permitted on college campuses",93091
"Electric cars will not succeed",90223
"The U.S. should not work with Assad to fight ISIS",93775
"Prostituion is safer when it's legal",90746
"New York's bike lanes are not working",92749
"People are getting dumber",91486
"New York's bike lanes are not working",90483
"No, it can't denounce",91446
"Immigration is not really a problem",90230
"No, it can't denounce",93452
"Happy hour should be banned",92768
"Colleges do not need humanities programs",90696
"Dual citizenship should be allowed",92070
"Comment sections have failed",93169
"Home schoolers deserve a tax break",92316
"Companies can be trusted",90563
"Christians have created a harmful atmosphere for gays",91679
"We don't need libraries",91710
"Miss America is bad for women",92700
"US should attack Syria",91825
"Miss America is bad for women",90593
"Brazil should not postpone Olympics",92489
"Drug addicts should be forced into treatment",91605
"The threat has been exaggerated",90597
"Wealthy colleges deserve tax breaks",93924
"Farm subsidies do not protect national security",93917
"Voting should be mandatory",93558
"We do not need more advice about eating well",91056
"Abolish Birthright Citizenship",90738
"Christians have created a harmful atmosphere for gays",92115
"Farms could survive without illegal labor",93703
"Queen Elizabeth II should not step down",92474
"Europe should not shun refugees",92109
"NATO should defend nonmbers",90882
"Christians have created a harmful atmosphere for gays",90736
"Do not drop sports program in undergraduate schools",93127
"Greece will destroy the Euro Zone",90078
"Internet gambling should be legalized",92843
"Salt should have a place at the table",91426
"Speech can be limited for public workers",91906
"Modern men are manly enough",90108
"Electric cars will not succeed",90875
"Farms could survive without illegal labor",92418
"Europe should not shun refugees",91106
"No, it can't denounce",91549
"Doping should be allowed",91653
"Christians have created a harmful atmosphere for gays",93045
"Medical websites are dangerous",91065
"Marijuana is a gateway drug",90909
"Vaccination should be mandatory for all children",92524
"Medical websites are dangerous",92267
"Teachers do not need to have experience",93445
"Legislation should not protect obese",94278
"Legislation should not protect obese",91585
"Opioid training should be mandatory",91055
"Non-Muslims help women by wearing hijabs",92274
"Greece's anti-austerity government can succeed",90157
"Fees are necessary",93386
"Christians have created a harmful atmosphere for gays",90700
"Parents should control what kids learn at school",90958
"Fees are necessary",94412
"Reality shows are not worse than other TV",91493
"Courts should not recognize a right to plural marriage among consenting adults",90970
"Marijuana is a gateway drug",91332
"Obamacare is not sustainable",93629
"Obamacare is not working",91173
"Comment sections have failed",92376
"Drone attacks make more harm",92923
"Vaccination should be mandatory for all children",91044
"TFA has not raised the status of teachers",94433
"Medical websites are dangerous",91978
"The new apps is a way for people to get into popular restaurants",92519
"We don't need the C.I.A.",93908
"Electric cars will not succeed",91935
"Same-sex colleges are outdated",90223
"Guns should be permitted on college campuses",94148
"The threat has been exaggerated",92978
"Border is not secure enough",92534
"Reality shows are not worse than other TV",92150
"Schoold day should be longer",93495
"Overcrowding is a legitimate threat",94160
"School librarians are expendable",93749
"Rock Hall of Fame doesn't matter",91096
"3-D printing will change the world",91535
"Marijuana is a gateway drug",93233
"Parents' religious beliefs should allow them to refuse medical care for their children",91599
"Technological innovation is creating better worlds",93191
"Christians have created a harmful atmosphere for gays",90292
"Salt should have a place at the table",94394
"Supporting Israel helps",92403
"It should be illegal to declaw your cat",91937
"College free for everyone",90756
"Vaccination should be mandatory for all children",93187
"Farm subsidies do not protect national security",93908
"Greece should abandon Euro",94104
"Disclousure helps hackers",91406
"Christians have created a harmful atmosphere for gays",94290
"Court stenographers are necessary",93780
"Dual citizenship should be allowed",92516
"We do not need more advice about eating well",92175
"Christians have created a harmful atmosphere for gays",91879
"Do not stop taxing capital gains",90501
"New York's bike lanes are not working",90516
"Non-Muslims help women by wearing hijabs",92175
"Do not restrict use of the word 'natural' on food labels",93127
"We don't need the C.I.A.",90867
"TFA has not raised the status of teachers",90149
"Wal-Mart can make us healthier",91096
"Government should grade colleges",91371
"Marijuana is a gateway drug",94433
"New York's bike lanes are not working",90246
"Farms could survive without illegal labor",91397
"Comment sections have failed",93970
"Schoold day should be longer",94283
"Vaccination should be mandatory for all children",90019
"Abolish Birthright Citizenship",93553
"Students should be taught cursive",91232
"Foreign language classes should be mandatory in college",93451
"Parents' religious beliefs should allow them to refuse medical care for their children",90374
"New York's bike lanes are not working",90494
"Extreme parenting is counterproductive",90013
"Home-schoolers should not play for high school teams",90016
"Legislation should not protect obese",94276
"Guns should be permitted on college campuses",92180
"Veganism is good for everyone",93083
"Guns should be permitted on college campuses",90226
"Overcrowded national parks should have restricted access",92524
"Tenure protects bad teachers",92710
"Open office layout should be reconsidered",90612
"Miss America is bad for women",90602
"Speech can be limited for public workers",91907
"Drug addicts should be forced into treatment",94299
"State citizenship is not the answer to immigration reform",91847
"Government should not regulate airline industry again",93880
"It should be illegal to declaw your cat",93556
"The U.S. should lift sanctions with Cuba",93320
"Not to tip",93285
"Helping condo developers help the city",90267
"Farm subsidies do not protect national security",91382
"We don't need libraries",91285
"School librarians are expendable",90886
"Students should be taught cursive",93133
"School librarians are expendable",92222
"Brazil should not postpone Olympics",90770
"Do not stop taxing capital gains",90652
"Voting should be a constitutional right",90329
"No, it can't denounce",92605
"Prostituion is safer when it's legal",93489
"Electric cars will not succeed",93112
"We don't need libraries",91283
"Russia can be a partner",91823
"Dual citizenship should be allowed",92069
"Privatization is a bad deal for cities and states",90614
"Supporting Israel helps",91372
"Dual citizenship should be allowed",91396
"Do not stop taxing capital gains",92936
"Do not restrict use of the word 'natural' on food labels",91540
"Open office layout should be reconsidered",94417
"Big banks are not out of control",93149
"New York's bike lanes are not working",91383
"Pollings do no undermine democracy",91435
"The new apps is a way for people to get into popular restaurants",90035
"Speech can be limited for public workers",93411
"We do not need professional critics",90255
"Drug addicts should be forced into treatment",90720
"Brazil should not postpone Olympics",91138
"Do not stop taxing capital gains",91842
"Overcrowding is a legitimate threat",90593
"All immigrants should get ID cards",93769
"No, it can't denounce",94305
"Felons should be allowed to vote",90941
"3-D printing will change the world",91905
"Farms could survive without illegal labor",91739
"We do not need professional critics",93722
"Parents' religious beliefs should allow them to refuse medical care for their children",93528
"Not to tip",93795
"Home schoolers deserve a tax break",91621
"Parents should control what kids learn at school",93912
"Immigration is not really a problem",91074
"New York's bike lanes are not working",90789
"Guns should be permitted on college campuses",90474
"Businesses should be allowed to have new employees sign noncompete deals",92472
"Home schoolers deserve a tax break",90604
"Do not stop taxing capital gains",91853
"Obamacare is not sustainable",93602
"Keep selling arms to Taiwan",93802
"Comment sections have failed",94425
"Companies can be trusted",91336
"Salt should have a place at the table",93776
"Electric cars will not succeed",91497
"Brazil should not postpone Olympics",90777
"Greece should abandon Euro",91555
"Tenure protects bad teachers",90632
"Do not stop taxing capital gains",90569
"Public universities are neglecting in-state students",92931
"College students' votes do matter in an election",92815
"Iran can help the U.S. In Syria",94243
"The U.S. Embassy should be moved from Tel Aviv to Jerusalem",91971
"Overcrowding is a legitimate threat",90746
"The U.S. should lift sanctions with Cuba",90615
"Speech can be limited for public workers",91553
"Wal-Mart can make us healthier",91590
"Fees are necessary",93300
"Colleges do not need humanities programs",90484
"The threat has been exaggerated",94332
"It is fair to rate professors online",93996
"Fees are necessary",91018
"Do not stop taxing capital gains",93352
"Salt should have a place at the table",91406
"Opioid training should be mandatory",93570
"Disclousure helps hackers",91240
"Overcrowding is a legitimate threat",90952
"College should be free",92476
"People are getting dumber",92737
"It is fair to rate professors online",93431
"Comment sections have failed",91877
"Police is reacting to dangers",93752
"Obamacare is not sustainable",92074
"The U.S. should lift sanctions with Cuba",91619
"Overcrowding is a legitimate threat",92400
"Farms could survive without illegal labor",90398
"Extreme parenting is counterproductive",93936
"Internet is becoming too censored",92975
"Google is a harmful monopoly",90318
"Do not drop sports program in undergraduate schools",93462
"Obamacare is not sustainable",94292
"Comment sections have failed",90423
"Writing can be assessed",90340
"Fees are necessary",93665
"School librarians are expendable",90871
"Not to tip",94266
"Comment sections have failed",92317
"Do not stop taxing capital gains",91821
"It should be illegal to declaw your cat",91352
"Speech can be limited for public workers",91125
"Home schoolers deserve a tax break",91311
"The U.S. Embassy should be moved from Tel Aviv to Jerusalem",90994
"Government should grade colleges",93143
"No, it can't denounce",90106
"Tracking kids does not invade privacy",90790
"It is fair to rate professors online",93987
"Streaming is good for musicians",92981
"The A.D.H.D. diagnosis is helping kids",93683
"Guns should be permitted on college campuses",93626
"Drug addicts should be forced into treatment",91090
"Wealthy colleges deserve tax breaks",90995
"Nations should not recognize a Palestinian state",90921
"Foreign language classes should be mandatory in college",90958
"Opioid training should be mandatory",91598
"Felons should be allowed to vote",93383
"No, it can't denounce",90245
"Foreign language classes should be mandatory in college",93125
"Women should delay motherhood",92033
"College free for everyone",93640
"Obamacare is not working",91155
"Medicare doesn't need to be reformed",91542
"Voting should be mandatory",90254
"Farms could survive without illegal labor",91591
"All immigrants should get ID cards",93771
"Reality shows are not worse than other TV",92346
"Guns should be permitted on college campuses",90076
"Queen Elizabeth II should not step down",92457
"Strictly enforcing minor violations deter more serious crime",90299
"Electric cars will not succeed",90673
"The bar is not too low to get into law school",91818
"Social media encourage romance",93038
"We don't need libraries",93804
"The U.S. Embassy should be moved from Tel Aviv to Jerusalem",92169
"Dual citizenship should be allowed",94087
"Parents' religious beliefs should allow them to refuse medical care for their children",94207
"Vaccination should be mandatory for all children",91572
"Obamacare is not working",92172
"Former colonial powers should not pay reparations",91235
"Home schoolers deserve a tax break",91159
"Legislation should not protect obese",93106
"Prostituion is safer when it's legal",90845
"The Atlantic coast should be opened to drilling",90700
"Amazon will kill off publishers",93705
"Companies should be allowed to patent genes",90855
"It should be illegal to declaw your cat",90495
"Obamacare is not working",91137
"Obamacare is not sustainable",90841
"Modern men are manly enough",92925
"Greece will destroy the Euro Zone",90394
"Obamacare is not sustainable",90083
"Extreme parenting is counterproductive",91891
"We don't need the C.I.A.",90903
"Women should delay motherhood",91881
"Iran doesn't remain a threat",90330
"Doping should be allowed",93464
"Rim should be raised",93982
"Open office layout should be reconsidered",93037
"Nations should not recognize a Palestinian state",92579
"Colleges do not need humanities programs",90246
"Modern men are manly enough",91264
"State citizenship is not the answer to immigration reform",91047
"Marijuana is a gateway drug",90497
"The U.S. should lift sanctions with Cuba",90715
"Women should delay motherhood",93586
"Parents should help their children with homework",90054
"Greece should abandon Euro",92630
"Modern men are manly enough",91770
"Home schoolers deserve a tax break",92034
"Tenure protects bad teachers",93669
"Brazil should not postpone Olympics",93989
"Let Export-Import Bank expire",93032
"Tennis strung is not too tight",93213
"Overcrowded national parks should have restricted access",90036
"Europe should not shun refugees",93929
"Google is a harmful monopoly",93011
"Parents should control what kids learn at school",90968
"We don't need to hear from candidate's spouse",94309
"No, it can't denounce",94243
"College students' votes do matter in an election",93178
"Nations should not recognize a Palestinian state",91679
"Globalization has not ruined street style",92817
"Do not drop sports program in undergraduate schools",94314
"Drone attacks make more harm",93346
"We don't need libraries",91874
"3-D printing will change the world",90148
"Schoold day should be longer",93482
"Electric cars will not succeed",91590
"Government should not regulate airline industry again",91487
"Not to tip",92886
"Crime can be ethically predicted",91002
"Veganism is good for everyone",93884
"College free for everyone",94438
"The U.S. Embassy should be moved from Tel Aviv to Jerusalem",93911
"Women should delay motherhood",92017
"Helping condo developers help the city",91639
"We should disband NATO",90108
"Online classes are not the best way to teach",93377
"Foreign language classes should be mandatory in college",90925
"The U.S. should lift sanctions with Cuba",90286
"All immigrants should get ID cards",90834
"Do not stop taxing capital gains",91388
"It should be illegal to declaw your cat",91666
"US should attack Syria",90379
"Tenure protects bad teachers",93864
"Comment sections have failed",92391
"Economists are not overrated",92160
"Comment sections have failed",93415
"No, it can't denounce",93745
"Home schoolers deserve a tax break",94374
"Parents' religious beliefs should allow them to refuse medical care for their children",93858
"Obamacare is not working",91912
"Medical websites are dangerous",92258
"Guns should be permitted on college campuses",92430
"People are getting dumber",94430
"Companies should be allowed to patent genes",93137
"Casinos are not too much of a gamble",92952
"Kurds are allies in SyriaAllies",94104
"Ruining",90831
"Greece should abandon Euro",91772
"Medicare doesn't need to be reformed",92789
"Medical websites are dangerous",90785
"State citizenship is not the answer to immigration reform",90003
"Same-sex colleges are outdated",90221
"Vaccination should be mandatory for all children",91453
"America's fears are legitimate",94075
"Guns should be permitted on college campuses",90718
"TFA has not raised the status of teachers",90932
"Police is reacting to dangers",94194
"Obamacare is not sustainable",90264
"Google is a harmful monopoly",90553
"Parents should help their children with homework",94141
"Parents should make vacation with kids",94136
"Home schoolers deserve a tax break",94404
"The bar is not too low to get into law school",94073
"Wal-Mart can make us healthier",94353
"Supporting Israel helps",93156
"Dual citizenship should be allowed",93517
"Salt should have a place at the table",91431
"Helping condo developers help the city",92291
"Drug addicts should be forced into treatment",91621
"California doesn't need high-speed rail",93796
"Public universities are neglecting in-state students",93094
"Christians have created a harmful atmosphere for gays",93034
"Not to tip",91804
"Guns should be permitted on college campuses",93015
"Do not restrict use of the word 'natural' on food labels",93117
"No, it can't denounce",93852
"Extreme parenting is counterproductive",92533
"Supporting Israel helps",92222
"Social media encourage romance",91351
"Online classes are not the best way to teach",94265
"Mother Teresa should be canonized",91820
"Immigration is not really a problem",91071
"Electric cars will not succeed",91758
"The Atlantic coast should be opened to drilling",91929
"Modern men are manly enough",90066
"No, it can't denounce",93275
"It should be illegal to declaw your cat",90695
"It should be illegal to declaw your cat",90998
"Russia can be a partner",91585
"No, it can't denounce",90917
"Overcrowding is a legitimate threat",91375
"No, the laws should not be toughened",91257
"Colleges do not need humanities programs",94118
"Salt should have a place at the table",92399
"Public universities are neglecting in-state students",92923
"Nations should not recognize a Palestinian state",92485
"Research papers are a useful excercise for college students",93324
"Schoold day should be longer",93488
"New York's bike lanes are not working",90519
"Government should grade colleges",93600
"Guns should be permitted on college campuses",93649
"Parents should help their children with homework",92668
"Home schoolers deserve a tax break",94415
"Women should delay motherhood",92571
"The new apps is a way for people to get into popular restaurants",91330
"Turkey belongs to NATO",92486
"Iran can help the U.S. In Syria",91008
"Overcrowding is a legitimate threat",90800
"People are getting dumber",91690
"Electric cars will not succeed",92515
"Nuclear power is not the answer to climate change",90886
"Jail record should be an employer's first impression",90934
"Vaccination should be mandatory for all children",93082
"Do not stop taxing capital gains",94153
"Supporting Israel helps",93229
"Companies can excel without making workers miserable",91729
"Dual citizenship should be allowed",93271
"Prozac just opened the flood gates to marketing",91525
"Court stenographers are necessary",92613
"Royal Couple could be a modern family",90136
"The U.S. should not work with Assad to fight ISIS",94031
"Modern men are manly enough",90837
"Home-schoolers should not play for high school teams",92337
"US should attack Syria",91962
"Social media encourage romance",93206
"Home schoolers deserve a tax break",91341
"Privatization is a bad deal for cities and states",91898
"Unpaid intenship exploit college students",91412
"No, it can't denounce",91279
"Royal Couple could be a modern family",93501
"People are getting dumber",90636
"Economists are not overrated",93951
"Companies can excel without making workers miserable",90809
"Olympics are more trouble",93866
"We don't need libraries",91093
"We do not need professional critics",92768
"It is harder to be a celebrity now",92663
"Not to tip",92880
"Do not drop sports program in undergraduate schools",92329
"Legislation should not protect obese",91593
"Students should be taught cursive",91440
"New York's bike lanes are not working",92724
"We don't need libraries",90985
"New York's bike lanes are not working",92123
"Research papers are a useful excercise for college students",92309
"New York's bike lanes are not working",90840
"Do not stop taxing capital gains",93908
"Affirmative actions should be based on income",90717
"Do not stop taxing capital gains",91844
"All immigrants should get ID cards",90060
"Police officers should be required to wear cameras",92981
"Voting should be mandatory",92537
"Abolish Birthright Citizenship",94152
"Prostituion is safer when it's legal",94424
"Abolish Birthright Citizenship",93876
"Felons should be allowed to vote",91489
"Guns should be permitted on college campuses",90570
"The new apps is a way for people to get into popular restaurants",90312
"We don't need libraries",91289
"Mother Teresa should be canonized",94342
"Parents should make vacation with kids",92786
"Drone attacks make more harm",93085
"New York's bike lanes are not working",94011
"Prostituion is safer when it's legal",92657
"Comment sections have failed",92446
"Sport leagues should enjoy nonprofit status",90522
"Rock Hall of Fame doesn't matter",92368
"Public universities are neglecting in-state students",92926
"Marijuana is a gateway drug",93275
"People are getting dumber",90708
"Do not restrict use of the word 'natural' on food labels",92242
"Public universities are neglecting in-state students",92775
"Ruining",91628
"It should be illegal to declaw your cat",92339
"Vaccination should be mandatory for all children",93163
"New York's bike lanes are not working",90453
"Veganism is good for everyone",92545
"Medical websites are dangerous",92277
"Christians have created a harmful atmosphere for gays",90481
"Comment sections have failed",92331
"We do not need professional critics",94076
"Comment sections have failed",94186
"No, it can't denounce",91631
"Colorado didn't go too far with pot",90048
"No, it can't denounce",92542
"Kurds are allies in SyriaAllies",91203
"The U.S. should not work with Assad to fight ISIS",91344
"Christians have created a harmful atmosphere for gays",93592
"The U.S. Embassy should be moved from Tel Aviv to Jerusalem",92302
"Opioid training should be mandatory",94204
"Voting should be mandatory",92842
"Vaccination should be mandatory for all children",93582
"Do not stop taxing capital gains",93104
"Affirmative actions should be based on income",91751
"3-D printing will change the world",93255
"All immigrants should get ID cards",93636
"TFA has not raised the status of teachers",93367
"Immigration is not really a problem",91081
"Comment sections have failed",92411
"Home schoolers deserve a tax break",93963
"Parents' religious beliefs should allow them to refuse medical care for their children",91350
"Marijuana is a gateway drug",93256
"Tenure protects bad teachers",91601
"We don't need to hear from candidate's spouse",92692
"Vaccination should be mandatory for all children",92195
"Speech can be limited for public workers",90020
"Former colonial powers should not pay reparations",92746
"The U.S. Embassy should be moved from Tel Aviv to Jerusalem",93497
"Obamacare is not sustainable",90582
"Google is a harmful monopoly",91549
"Internet addiction is a concern for teenagers",92750
"Miss America is bad for women",94414
"Tenure protects bad teachers",91796
"We don't need libraries",92342
"Young people are being irresponsible by delaying the rituals of adult life",92736
"Computer-generated imagery is enhancing cinema",90967
"School librarians are expendable",92276
"Do not stop taxing capital gains",90454
"Beachfront homes should have to open their land to the public",90700
"Veganism is good for everyone",91798
"Businesses should be allowed to have new employees sign noncompete deals",94201
"Fees are necessary",91330
"Do not stop taxing capital gains",92435
"Miss America is bad for women",90704
"The U.S. Embassy should be moved from Tel Aviv to Jerusalem",92535
"Colleges do not need humanities programs",94070
"School librarians are expendable",90890
"Vaccination should be mandatory for all children",94158
"Tenure protects bad teachers",92692
"Comment sections have failed",93628
"Do not restrict use of the word 'natural' on food labels",92913
"Supreme court is not too powerful",92496
"Open office layout should be reconsidered",93093
"Extreme parenting is counterproductive",91907
"Marijuana is a gateway drug",91650
"Iran doesn't remain a threat",93849
"Do not stop taxing capital gains",92939
"California doesn't need high-speed rail",90877
"No, it can't denounce",92011
"We do not need more advice about eating well",93178
"The U.S. should lift sanctions with Cuba",93515
"Extreme parenting is counterproductive",92723
"College should be free",91906
"Nations should not recognize a Palestinian state",91682
"It should be illegal to declaw your cat",91166
"Public preschool is a smart investment",92411
"Rim should be raised",91126
"Fees are necessary",91649
"Police is reacting to dangers",93755
"Police officers should be required to wear cameras",94330
"Speech can be limited for public workers",90274
"Miss America is bad for women",90512
"Happy hour should be banned",91929
"Royal Couple could be a modern family",90309
"Farms could survive without illegal labor",90820
"Drug addicts should be forced into treatment",94111
"The bar is not too low to get into law school",92949
"We don't need the C.I.A.",91610
"Legislation should not protect obese",90993
"Open office layout should be reconsidered",92504
"The U.S. should lift sanctions with Cuba",90377
"It is fair to rate professors online",94127
"Immigration is not really a problem",92275
"Comment sections have failed",92708
"Do not stop taxing capital gains",94336
"Comment sections have failed",92631
"Farms could survive without illegal labor",90976
"Marijuana is a gateway drug",90010
"Extreme parenting is counterproductive",92692
"Parents should control what kids learn at school",93709
"Women should delay motherhood",90686
"Home schoolers deserve a tax break",92125
"Do not stop taxing capital gains",91108
"The U.S. should lift sanctions with Cuba",91409
"Fees are necessary",91328
"Do not stop taxing capital gains",90909
"Do not stop taxing capital gains",91876
"Home schoolers deserve a tax break",93501
"Do not restrict use of the word 'natural' on food labels",93120
"Colleges do not need humanities programs",94108
"Students should live off campus",90329
"Sport leagues should enjoy nonprofit status",91231
"Parents should help their children with homework",90057
"Economists are not overrated",91587
"We don't need libraries",93644
"Colleges do not need humanities programs",93938
"Christians have created a harmful atmosphere for gays",93078
"It should be illegal to declaw your cat",94187
"State citizenship is not the answer to immigration reform",92193
"Do not stop taxing capital gains",91811
"Students should live off campus",91294
"Do not legitimize Frisbee",93563
"Democracies should have monarchs",92419
"Beachfront homes should have to open their land to the public",90977
"Comment sections have failed",91358
"Medicare doesn't need to be reformed",92739
"Research papers are a useful excercise for college students",91938
"It should be illegal to declaw your cat",90252
"Europe should not shun refugees",92123
"Legislation should not protect obese",90795
"Young people are being irresponsible by delaying the rituals of adult life",91458
"Farm subsidies do not protect national security",93925
"Not to tip",92887
"People are getting dumber",90987
"Parents' religious beliefs should allow them to refuse medical care for their children",90427
"Public universities are neglecting in-state students",94308
"Social media encourage romance",92402
"US should attack Syria",92931
"Prostituion is safer when it's legal",92450
"Unpaid intenship exploit college students",90389
"Hamas-Fatah unity can lead to mideast peace",92015
"It should be illegal to declaw your cat",93746
"Nations should not recognize a Palestinian state",90068
"California doesn't need high-speed rail",91895
"New York's bike lanes are not working",92196
"Electric cars will not succeed",93322
"Obamacare is not working",91165
"California doesn't need high-speed rail",92597
"Voting should be a constitutional right",92165
"Home-schoolers should not play for high school teams",90294
"It should be illegal to declaw your cat",90703
"Affirmative actions should be based on income",90823
"Wealthy colleges deserve tax breaks",93718
"It is fair to rate professors online",93009
"Parents should make vacation with kids",92785
"Hamas-Fatah unity can lead to mideast peace",93713
"Guns should be permitted on college campuses",91273
"Felons should be allowed to vote",90006
"No, the laws should not be toughened",93746
"Greece's anti-austerity government can succeed",90861
"Former colonial powers should not pay reparations",90028
"People are getting dumber",91447
"Pollings do no undermine democracy",92802
"Happy hour should be banned",93337
"Vaccination should be mandatory for all children",93496
"Young people are being irresponsible by delaying the rituals of adult life",93187
"Do not stop taxing capital gains",91843
"Farms could survive without illegal labor",90120
"Marijuana is a gateway drug",93273
"The Atlantic coast should be opened to drilling",91098
"Comment sections have failed",90837
"Legislation should not protect obese",91475
"Felons should be allowed to vote",91634
"Legislation should not protect obese",90868
"Parents should help their children with homework",91025
"Affirmative actions should be based on income",90103
"It is fair to rate professors online",91032
"Globalization has not ruined street style",93469
"Beachfront homes should have to open their land to the public",92278
"Do not restrict use of the word 'natural' on food labels",92067
"Non-Muslims help women by wearing hijabs",92196
"Colleges do not need humanities programs",93319
"Do not drop sports program in undergraduate schools",91646
"We don't need FEMA",94017
"Drug addicts should be forced into treatment",94335
"Nuclear power is not the answer to climate change",92913
"Voting should be mandatory",90156
"Europe should not shun refugees",91553
"Abolish Birthright Citizenship",91771
"The U.S. should lift sanctions with Cuba",90267
"Same-sex colleges are outdated",90433
"School librarians are expendable",94176
"Big banks are not out of control",91707
"Let Export-Import Bank expire",91881
"Keep selling arms to Taiwan",93778
"Rich politicans are less corruptible",90277
"Companies can be trusted",91809
"Legislation should not protect obese",91226
"Non-Muslims help women by wearing hijabs",92585
"Farms could survive without illegal labor",93094
"We don't need libraries",90205
"Comment sections have failed",92325
"We do not need professional critics",90031
"US should attack Syria",93830
"Greece should abandon Euro",94095
"Economists are not overrated",90274
"Immigration is not really a problem",93737
"Happy hour should be banned",93133
"Royal Couple could be a modern family",92493
"Do not stop taxing capital gains",91849
"Tennis strung is not too tight",91128
"Do not restrict use of the word 'natural' on food labels",92809
"The bar is not too low to get into law school",93184
"The new apps is a way for people to get into popular restaurants",92522
"US should attack Syria",91313
"Felons should be allowed to vote",90328
"Supporting Israel helps",92068
"Legislation should not protect obese",90223
"Iran doesn't remain a threat",92984
"Happy hour should be banned",91615
"Prostituion is safer when it's legal",94044
"Not to tip",93307
"Overcrowding is a legitimate threat",92718
"No, it can't denounce",92335
"Non-Muslims help women by wearing hijabs",92180
"Casinos are not too much of a gamble",92951
"Voting should be a constitutional right",91594
"Parents' religious beliefs should allow them to refuse medical care for their children",91393
"Electric cars will not succeed",93665
"States do not need special schools for the deaf",93686
"No, it can't denounce",92547
"Voting should be a constitutional right",93596
"Nations should not recognize a Palestinian state",92698
"It should be illegal to declaw your cat",92176
"Obamacare is not working",91149
"Students should live off campus",92160
"The U.S. should not work with Assad to fight ISIS",92442
"Women should delay motherhood",91897
"It should be illegal to declaw your cat",91909
"New York's bike lanes are not working",93908
"Colleges do not need humanities programs",94127
"Not to tip",94138
"Privatization is a bad deal for cities and states",90521
"The threat has been exaggerated",92563
"Sport leagues should enjoy nonprofit status",91754
"Rich politicans are less corruptible",93017
"Comment sections have failed",94063
"Companies should be allowed to patent genes",91218
"No, it can't denounce",92657
"College should be free",91322
"It should be illegal to declaw your cat",91611
"Home schoolers deserve a tax break",94366
"New York's bike lanes are not working",93350
"Affirmative actions should be based on income",92692
"Greece's anti-austerity government can succeed",93490
"The new apps is a way for people to get into popular restaurants",90485
"US should attack Syria",93398
"Affirmative actions should be based on income",90183
"It should be illegal to declaw your cat",94407
"Rim should be raised",90911
"Farms could survive without illegal labor",93904
"Drone attacks make more harm",90446
"Salt should have a place at the table",91427
"Companies should be allowed to patent genes",92359
"Comment sections have failed",91014
"The U.S. should not work with Assad to fight ISIS",94037
"Businesses should be allowed to have new employees sign noncompete deals",94218
"It should be illegal to declaw your cat",94070
"Electric cars will not succeed",93328
"US should attack Syria",92055
"Police is reacting to dangers",92096
"Royal Couple could be a modern family",94221
"No, it can't denounce",92623
"Parents should control what kids learn at school",92142
"Non-Muslims help women by wearing hijabs",92198
"Companies can excel without making workers miserable",91722
"Comment sections have failed",91844
"Computer-generated imagery is enhancing cinema",90665
"College students' votes do matter in an election",93393
"Public preschool is a smart investment",90033
"America's fears are legitimate",91931
"Medicare doesn't need to be reformed",91515
"New York's bike lanes are not working",93636
"Medicare doesn't need to be reformed",92958
"We do not need more advice about eating well",92378
"Companies can be trusted",94308
"Do not stop taxing capital gains",92191
"Marijuana is a gateway drug",91217
"New York's bike lanes are not working",90493
"Tenure protects bad teachers",93019
"Speech can be limited for public workers",93273
"Marijuana is a gateway drug",90691
"Border is not secure enough",94288
"Comment sections have failed",91309
"Salt should have a place at the table",90090
"We do not need more advice about eating well",91515
"Do not stop taxing capital gains",90347
"Colorado didn't go too far with pot",94173
"Government should not regulate airline industry again",91052
"California doesn't need high-speed rail",91985
"Public preschool is a smart investment",90329
"Vaccination should be mandatory for all children",91217
"Voting should be mandatory",92816
"Foreign language classes should be mandatory in college",91443
"We don't need the C.I.A.",92183
"Tenure protects bad teachers",94092
"Privatization is a bad deal for cities and states",93211
"Legislation should not protect obese",94244
"Court stenographers are necessary",93890
"The bar is not too low to get into law school",90163
"Obamacare is not sustainable",92134
"Overcrowded national parks should have restricted access",93325
"Abolish Birthright Citizenship",91743
"Electric cars will not succeed",93640
"Government should grade colleges",93156
"Unpaid intenship exploit college students",91822
"Open office layout should be reconsidered",94436
"Mother Teresa should be canonized",91053
"Colleges do not need humanities programs",91985
"Home-schoolers should not play for high school teams",90787
"Parents' religious beliefs should allow them to refuse medical care for their children",92670
"Not to tip",90917
"Research papers are a useful excercise for college students",92305
"Companies can excel without making workers miserable",93770
"Businesses should be allowed to have new employees sign noncompete deals",93375
"Modern men are manly enough",92365
"Colleges do not need humanities programs",93255
"Royal Couple could be a modern family",90113
"Veganism is good for everyone",90344
"No, it can't denounce",92204
"Extreme parenting is counterproductive",94100
"Greece's anti-austerity government can succeed",94041
"Crime can be ethically predicted",93130
"TFA has not raised the status of teachers",92810
